Unnamed: 0,current_size,fire_spread_rate,temperature,relative_humidity,wind_speed,fire_fighting_start_size,duration_from_reported_to_dispatch,fire_spread_rate_squared,temperature_squared,relative_humidity_squared,wind_speed_squared,fire_fighting_start_size_squared,size_class_A,size_class_B,size_class_C,size_class_D,size_class_E
295,0.06,1.0,27.0,54.0,5.0,0.06,0.0,1.0,729.0,2916.0,25.0,0.0036,1,0,0,0,0
297,0.07,1.0,22.0,77.0,7.0,0.2,0.0,1.0,484.0,5929.0,49.0,0.04,1,0,0,0,0
299,0.1,0.0,30.0,31.0,1.0,0.1,2.0,0.0,900.0,961.0,1.0,0.01,1,0,0,0,0
300,0.1,1.0,24.0,35.0,1.0,0.01,0.0,1.0,576.0,1225.0,1.0,0.0001,1,0,0,0,0
301,0.01,0.0,15.0,80.0,2.0,0.01,1.0,0.0,225.0,6400.0,4.0,0.0001,1,0,0,0,0
302,0.1,0.5,32.5,24.0,10.0,0.1,15.0,0.25,1056.25,576.0,100.0,0.01,1,0,0,0,0
308,0.01,0.1,27.0,23.0,8.0,0.01,0.0,0.01,729.0,529.0,64.0,0.0001,1,0,0,0,0
309,0.1,1.0,24.0,42.0,9.0,0.1,0.0,1.0,576.0,1764.0,81.0,0.01,1,0,0,0,0
310,0.03,0.0,21.0,51.0,13.0,0.02,6.0,0.0,441.0,2601.0,169.0,0.0004,1,0,0,0,0
311,0.01,0.1,29.9,30.0,1.0,0.01,0.0,0.01,894.0099999999999,900.0,1.0,0.0001,1,0,0,0,0
312,0.01,0.0,15.0,79.0,4.0,0.01,36.0,0.0,225.0,6241.0,16.0,0.0001,1,0,0,0,0
313,0.01,0.0,26.0,63.0,12.0,0.01,1.0,0.0,676.0,3969.0,144.0,0.0001,1,0,0,0,0
314,0.01,1.0,26.0,46.0,2.0,0.01,7.0,1.0,676.0,2116.0,4.0,0.0001,1,0,0,0,0
315,0.01,0.1,28.0,69.0,3.0,0.01,9.0,0.01,784.0,4761.0,9.0,0.0001,1,0,0,0,0
317,0.02,1.0,23.4,48.0,24.0,0.02,2.0,1.0,547.56,2304.0,576.0,0.0004,1,0,0,0,0
323,0.01,0.0,20.0,62.0,0.0,0.01,3.0,0.0,400.0,3844.0,0.0,0.0001,1,0,0,0,0
325,0.02,1.0,23.0,75.0,3.0,0.02,4.0,1.0,529.0,5625.0,9.0,0.0004,1,0,0,0,0
329,0.01,0.0,27.0,40.0,10.0,0.01,0.0,0.0,729.0,1600.0,100.0,0.0001,1,0,0,0,0
330,0.01,0.0,27.0,45.0,10.0,0.01,0.0,0.0,729.0,2025.0,100.0,0.0001,1,0,0,0,0
331,0.01,0.0,27.0,45.0,10.0,0.01,0.0,0.0,729.0,2025.0,100.0,0.0001,1,0,0,0,0
348,0.01,0.0,21.0,50.0,15.0,0.01,0.0,0.0,441.0,2500.0,225.0,0.0001,1,0,0,0,0
351,0.01,0.5,14.0,90.0,5.0,0.01,14.0,0.25,196.0,8100.0,25.0,0.0001,1,0,0,0,0
357,0.01,0.0,13.0,70.0,0.0,0.01,0.0,0.0,169.0,4900.0,0.0,0.0001,1,0,0,0,0
359,0.01,0.0,14.0,55.0,10.0,0.01,6.0,0.0,196.0,3025.0,100.0,0.0001,1,0,0,0,0
366,0.1,0.0,30.0,25.0,10.0,0.1,13.0,0.0,900.0,625.0,100.0,0.01,1,0,0,0,0
369,0.01,0.1,33.0,22.0,0.0,0.72,7.0,0.01,1089.0,484.0,0.0,0.5184,1,0,0,0,0
372,0.1,1.0,27.0,30.0,6.0,0.1,4.0,1.0,729.0,900.0,36.0,0.01,1,0,0,0,0
376,0.01,0.0,24.0,56.0,0.0,0.01,0.0,0.0,576.0,3136.0,0.0,0.0001,1,0,0,0,0
377,0.1,0.1,27.0,36.0,1.0,0.1,4.0,0.01,729.0,1296.0,1.0,0.01,1,0,0,0,0
378,0.08,1.0,30.0,30.0,5.0,0.1,0.0,1.0,900.0,900.0,25.0,0.01,1,0,0,0,0
384,0.01,0.0,22.0,58.0,0.0,0.01,39.0,0.0,484.0,3364.0,0.0,0.0001,1,0,0,0,0
387,0.01,0.1,20.0,65.0,5.0,0.01,0.0,0.01,400.0,4225.0,25.0,0.0001,1,0,0,0,0
388,0.01,0.0,26.0,31.0,2.0,0.01,0.0,0.0,676.0,961.0,4.0,0.0001,1,0,0,0,0
390,0.01,1.0,28.5,52.0,2.0,0.01,0.0,1.0,812.25,2704.0,4.0,0.0001,1,0,0,0,0
392,0.01,0.0,21.0,47.0,5.0,0.01,0.0,0.0,441.0,2209.0,25.0,0.0001,1,0,0,0,0
393,0.01,0.0,26.0,31.0,12.0,0.01,0.0,0.0,676.0,961.0,144.0,0.0001,1,0,0,0,0
396,0.02,1.0,24.0,30.0,0.0,0.01,2.0,1.0,576.0,900.0,0.0,0.0001,1,0,0,0,0
401,0.03,3.0,39.9,28.0,15.0,0.5,1.0,9.0,1592.01,784.0,225.0,0.25,1,0,0,0,0
410,0.01,0.1,25.0,56.0,14.0,0.01,13.0,0.01,625.0,3136.0,196.0,0.0001,1,0,0,0,0
414,0.05,0.5,24.0,52.0,15.0,0.1,10.0,0.25,576.0,2704.0,225.0,0.01,1,0,0,0,0
416,0.01,0.1,24.1,54.0,2.0,0.01,17.0,0.01,580.8100000000001,2916.0,4.0,0.0001,1,0,0,0,0
417,0.1,0.5,24.0,27.0,1.0,0.2,0.0,0.25,576.0,729.0,1.0,0.04,1,0,0,0,0
418,0.06,0.0,26.0,49.0,13.0,0.01,0.0,0.0,676.0,2401.0,169.0,0.0001,1,0,0,0,0
421,0.1,0.0,20.0,45.0,0.0,0.1,6.0,0.0,400.0,2025.0,0.0,0.01,1,0,0,0,0
423,0.1,1.0,27.0,28.0,4.0,0.1,0.0,1.0,729.0,784.0,16.0,0.01,1,0,0,0,0
435,0.01,1.0,23.0,55.0,5.0,0.01,2.0,1.0,529.0,3025.0,25.0,0.0001,1,0,0,0,0
436,0.07,1.0,24.8,54.0,5.0,0.1,1.0,1.0,615.0400000000001,2916.0,25.0,0.01,1,0,0,0,0
437,0.01,1.0,18.0,85.0,13.0,0.01,0.0,1.0,324.0,7225.0,169.0,0.0001,1,0,0,0,0
441,0.01,1.0,25.0,54.0,5.0,0.01,1.0,1.0,625.0,2916.0,25.0,0.0001,1,0,0,0,0
456,0.01,0.0,19.0,60.0,25.0,0.01,5.0,0.0,361.0,3600.0,625.0,0.0001,1,0,0,0,0
463,0.01,0.5,25.0,30.0,5.0,0.01,1.0,0.25,625.0,900.0,25.0,0.0001,1,0,0,0,0
466,0.01,0.1,30.0,45.0,2.0,0.01,2.0,0.01,900.0,2025.0,4.0,0.0001,1,0,0,0,0
468,0.1,1.0,27.0,35.0,35.0,0.1,36.0,1.0,729.0,1225.0,1225.0,0.01,1,0,0,0,0
470,0.01,0.0,22.0,82.0,0.0,0.01,82.0,0.0,484.0,6724.0,0.0,0.0001,1,0,0,0,0
481,0.01,0.0,20.0,35.0,10.0,0.01,0.0,0.0,400.0,1225.0,100.0,0.0001,1,0,0,0,0
489,0.03,1.0,25.8,42.0,3.0,0.03,6.0,1.0,665.64,1764.0,9.0,0.0009,1,0,0,0,0
490,0.04,0.0,34.0,30.0,5.0,0.04,2.0,0.0,1156.0,900.0,25.0,0.0016,1,0,0,0,0
501,0.1,0.5,27.0,48.0,0.0,0.01,0.0,0.25,729.0,2304.0,0.0,0.0001,1,0,0,0,0
504,0.01,0.5,28.0,55.0,7.0,0.01,0.0,0.25,784.0,3025.0,49.0,0.0001,1,0,0,0,0
511,0.01,0.0,29.0,26.0,10.0,0.01,0.0,0.0,841.0,676.0,100.0,0.0001,1,0,0,0,0
512,0.02,0.5,27.5,52.0,6.0,0.02,0.0,0.25,756.25,2704.0,36.0,0.0004,1,0,0,0,0
516,0.01,0.0,27.2,36.0,3.0,0.01,4.0,0.0,739.8399999999999,1296.0,9.0,0.0001,1,0,0,0,0
519,0.1,0.0,28.0,38.0,5.0,0.1,0.0,0.0,784.0,1444.0,25.0,0.01,1,0,0,0,0
520,0.1,0.2,17.0,35.0,15.0,0.1,10.0,0.04,289.0,1225.0,225.0,0.01,1,0,0,0,0
522,0.01,0.0,21.0,59.0,2.0,0.01,0.0,0.0,441.0,3481.0,4.0,0.0001,1,0,0,0,0
524,0.01,0.0,22.0,48.0,3.0,0.01,0.0,0.0,484.0,2304.0,9.0,0.0001,1,0,0,0,0
526,0.1,0.1,16.9,42.0,5.0,0.1,24.0,0.01,285.60999999999996,1764.0,25.0,0.01,1,0,0,0,0
527,0.01,0.0,19.0,80.0,15.0,0.01,0.0,0.0,361.0,6400.0,225.0,0.0001,1,0,0,0,0
532,0.01,0.1,13.0,88.0,0.0,0.01,4.0,0.01,169.0,7744.0,0.0,0.0001,1,0,0,0,0
542,0.1,1.0,13.0,80.0,0.0,0.01,11.0,1.0,169.0,6400.0,0.0,0.0001,1,0,0,0,0
549,0.1,0.1,23.9,77.0,0.0,0.1,0.0,0.01,571.2099999999999,5929.0,0.0,0.01,1,0,0,0,0
551,0.01,1.0,26.0,30.0,0.0,0.1,5.0,1.0,676.0,900.0,0.0,0.01,1,0,0,0,0
552,0.04,0.0,13.0,92.0,10.0,0.2,30.0,0.0,169.0,8464.0,100.0,0.04,1,0,0,0,0
556,0.03,0.0,21.0,54.0,5.0,0.01,5.0,0.0,441.0,2916.0,25.0,0.0001,1,0,0,0,0
557,0.05,0.5,28.0,60.0,6.0,0.05,0.0,0.25,784.0,3600.0,36.0,0.0025,1,0,0,0,0
558,0.04,1.0,24.0,70.0,0.0,0.1,0.0,1.0,576.0,4900.0,0.0,0.01,1,0,0,0,0
560,0.05,0.0,23.0,69.0,3.0,0.8,1.0,0.0,529.0,4761.0,9.0,0.6400000000000001,1,0,0,0,0
561,0.04,0.0,23.0,69.0,3.0,0.04,0.0,0.0,529.0,4761.0,9.0,0.0016,1,0,0,0,0
562,0.01,0.0,21.0,45.0,0.0,0.01,2.0,0.0,441.0,2025.0,0.0,0.0001,1,0,0,0,0
564,0.01,0.0,27.0,40.0,8.0,0.01,0.0,0.0,729.0,1600.0,64.0,0.0001,1,0,0,0,0
566,0.01,0.0,23.0,30.0,0.0,0.01,7.0,0.0,529.0,900.0,0.0,0.0001,1,0,0,0,0
567,0.1,0.0,25.0,37.0,1.0,0.01,13.0,0.0,625.0,1369.0,1.0,0.0001,1,0,0,0,0
569,0.01,0.0,25.0,30.0,5.0,0.01,0.0,0.0,625.0,900.0,25.0,0.0001,1,0,0,0,0
570,0.01,0.0,23.0,30.0,4.0,0.01,0.0,0.0,529.0,900.0,16.0,0.0001,1,0,0,0,0
571,0.01,0.0,28.0,53.0,0.0,0.01,1.0,0.0,784.0,2809.0,0.0,0.0001,1,0,0,0,0
575,0.01,0.0,25.0,30.0,2.0,0.01,0.0,0.0,625.0,900.0,4.0,0.0001,1,0,0,0,0
577,0.01,0.0,28.0,32.0,10.0,0.01,0.0,0.0,784.0,1024.0,100.0,0.0001,1,0,0,0,0
587,0.01,0.5,28.0,65.0,0.0,0.01,9.0,0.25,784.0,4225.0,0.0,0.0001,1,0,0,0,0
597,0.02,2.0,17.0,66.0,3.0,0.02,1.0,4.0,289.0,4356.0,9.0,0.0004,1,0,0,0,0
601,0.04,2.0,30.0,33.0,3.0,0.02,10.0,4.0,900.0,1089.0,9.0,0.0004,1,0,0,0,0
604,0.01,0.0,27.0,20.0,10.0,0.01,0.0,0.0,729.0,400.0,100.0,0.0001,1,0,0,0,0
607,0.01,0.5,26.0,58.0,25.0,0.01,101.0,0.25,676.0,3364.0,625.0,0.0001,1,0,0,0,0
612,0.1,1.0,20.0,60.0,7.0,0.1,7.0,1.0,400.0,3600.0,49.0,0.01,1,0,0,0,0
614,0.01,0.0,21.0,100.0,10.0,0.01,0.0,0.0,441.0,10000.0,100.0,0.0001,1,0,0,0,0
617,0.01,0.1,26.0,36.0,0.0,0.01,1.0,0.01,676.0,1296.0,0.0,0.0001,1,0,0,0,0
618,0.06,0.1,21.0,50.0,10.0,0.01,62.0,0.01,441.0,2500.0,100.0,0.0001,1,0,0,0,0
620,0.05,0.0,26.0,45.0,0.0,0.05,8.0,0.0,676.0,2025.0,0.0,0.0025,1,0,0,0,0
622,0.06,0.5,19.8,50.0,3.0,0.04,11.0,0.25,392.04,2500.0,9.0,0.0016,1,0,0,0,0
623,0.01,1.0,20.0,60.0,10.0,0.1,8.0,1.0,400.0,3600.0,100.0,0.01,1,0,0,0,0
624,0.01,1.0,28.0,38.0,5.0,0.01,4.0,1.0,784.0,1444.0,25.0,0.0001,1,0,0,0,0
626,0.01,0.0,21.0,55.0,3.0,0.01,7.0,0.0,441.0,3025.0,9.0,0.0001,1,0,0,0,0
627,0.01,0.0,17.0,93.0,20.0,0.01,15.0,0.0,289.0,8649.0,400.0,0.0001,1,0,0,0,0
631,0.01,0.0,15.0,60.0,27.0,0.01,3.0,0.0,225.0,3600.0,729.0,0.0001,1,0,0,0,0
637,0.1,0.1,18.0,45.0,20.0,0.1,3.0,0.01,324.0,2025.0,400.0,0.01,1,0,0,0,0
638,0.01,0.5,19.0,44.0,15.0,0.01,4.0,0.25,361.0,1936.0,225.0,0.0001,1,0,0,0,0
639,0.02,1.0,19.0,44.0,15.0,0.02,2.0,1.0,361.0,1936.0,225.0,0.0004,1,0,0,0,0
640,0.01,0.0,18.0,79.0,8.0,0.01,4.0,0.0,324.0,6241.0,64.0,0.0001,1,0,0,0,0
641,0.01,0.0,18.0,40.0,31.0,0.01,11.0,0.0,324.0,1600.0,961.0,0.0001,1,0,0,0,0
644,0.01,0.0,26.1,29.0,6.0,0.01,2.0,0.0,681.21,841.0,36.0,0.0001,1,0,0,0,0
653,0.1,1.0,28.0,29.0,43.0,0.1,8.0,1.0,784.0,841.0,1849.0,0.01,1,0,0,0,0
656,0.05,0.0,12.0,80.0,5.0,0.05,44.0,0.0,144.0,6400.0,25.0,0.0025,1,0,0,0,0
657,0.01,1.0,22.0,30.0,10.0,0.01,16.0,1.0,484.0,900.0,100.0,0.0001,1,0,0,0,0
661,0.01,0.0,8.0,72.0,15.0,0.01,2.0,0.0,64.0,5184.0,225.0,0.0001,1,0,0,0,0
662,0.01,0.0,21.5,42.0,4.0,0.01,7.0,0.0,462.25,1764.0,16.0,0.0001,1,0,0,0,0
664,0.01,1.0,10.0,60.0,10.0,0.01,13.0,1.0,100.0,3600.0,100.0,0.0001,1,0,0,0,0
665,0.01,0.0,19.0,50.0,10.0,0.01,5.0,0.0,361.0,2500.0,100.0,0.0001,1,0,0,0,0
671,0.05,0.5,17.0,60.0,1.0,0.05,1.0,0.25,289.0,3600.0,1.0,0.0025,1,0,0,0,0
676,0.01,0.1,26.0,40.0,4.0,0.01,7.0,0.01,676.0,1600.0,16.0,0.0001,1,0,0,0,0
681,0.01,0.0,21.0,36.0,4.0,0.01,31.0,0.0,441.0,1296.0,16.0,0.0001,1,0,0,0,0
684,0.01,0.0,24.0,35.0,5.0,0.01,0.0,0.0,576.0,1225.0,25.0,0.0001,1,0,0,0,0
685,0.1,0.1,21.0,47.0,10.0,0.1,6.0,0.01,441.0,2209.0,100.0,0.01,1,0,0,0,0
686,0.01,0.0,21.0,24.0,15.0,0.01,0.0,0.0,441.0,576.0,225.0,0.0001,1,0,0,0,0
687,0.01,1.0,20.0,49.0,20.0,0.01,2.0,1.0,400.0,2401.0,400.0,0.0001,1,0,0,0,0
688,0.01,1.0,21.0,40.0,10.0,0.01,0.0,1.0,441.0,1600.0,100.0,0.0001,1,0,0,0,0
690,0.01,0.0,14.0,75.0,25.0,0.01,9.0,0.0,196.0,5625.0,625.0,0.0001,1,0,0,0,0
692,0.01,1.0,19.0,54.0,3.0,0.01,94.0,1.0,361.0,2916.0,9.0,0.0001,1,0,0,0,0
694,0.1,0.0,14.0,36.0,10.0,0.1,9.0,0.0,196.0,1296.0,100.0,0.01,1,0,0,0,0
695,0.05,0.0,7.0,57.0,8.0,0.05,5.0,0.0,49.0,3249.0,64.0,0.0025,1,0,0,0,0
696,0.02,0.0,18.0,35.0,5.0,0.02,57.0,0.0,324.0,1225.0,25.0,0.0004,1,0,0,0,0
697,0.1,1.0,20.0,37.0,29.0,0.1,2.0,1.0,400.0,1369.0,841.0,0.01,1,0,0,0,0
703,0.01,0.0,17.0,64.0,20.0,0.01,13.0,0.0,289.0,4096.0,400.0,0.0001,1,0,0,0,0
705,0.01,0.0,13.0,40.0,0.0,0.01,0.0,0.0,169.0,1600.0,0.0,0.0001,1,0,0,0,0
706,0.05,0.0,12.0,24.0,20.0,0.05,4.0,0.0,144.0,576.0,400.0,0.0025,1,0,0,0,0
709,0.01,0.0,15.0,45.0,20.0,0.01,1.0,0.0,225.0,2025.0,400.0,0.0001,1,0,0,0,0
713,0.01,0.0,8.0,35.0,5.0,0.01,3.0,0.0,64.0,1225.0,25.0,0.0001,1,0,0,0,0
715,0.01,0.0,12.0,40.0,15.0,0.01,4.0,0.0,144.0,1600.0,225.0,0.0001,1,0,0,0,0
716,0.01,0.0,6.0,57.0,7.0,0.01,10.0,0.0,36.0,3249.0,49.0,0.0001,1,0,0,0,0
