current_size,fire_spread_rate,temperature,relative_humidity,wind_speed,fire_fighting_start_size,duration_from_reported_to_dispatch
1.06,0.0,13.2,45.0,2.0,1.06,8.0
0.01,0.0,9.0,82.0,14.0,0.01,15.0
1.17,3.0,21.9,21.0,4.0,0.8,8.0
1.9,1.0,25.0,39.0,4.0,1.2,13.0
0.09,0.0,23.0,32.0,55.0,0.01,3.0
1.2,2.0,14.0,56.0,10.0,5.0,4.0
0.01,0.1,23.0,32.0,11.0,0.01,7.0
0.01,0.0,27.0,25.0,20.0,0.01,3.0
0.02,1.0,25.0,30.0,20.0,0.01,1.0
0.5,1.0,30.0,30.0,15.0,0.3,3.0
0.01,0.5,30.0,51.0,0.0,0.09,0.0
0.13,1.0,23.0,38.0,65.0,0.13,69.0
0.5,1.0,26.0,33.0,4.0,0.5,5.0
176.4,1.0,16.8,37.0,10.0,176.0,5.0
0.01,0.0,27.0,26.0,8.0,0.01,8.0
0.05,1.0,22.0,38.0,1.0,0.05,8.0
4.4,3.0,25.0,28.0,2.0,2.0,0.0
0.1,0.1,23.1,51.0,9.0,0.1,7.0
0.6,2.0,20.0,26.0,5.0,0.2,4.0
0.06,1.0,10.0,50.0,5.0,0.06,15.0
0.01,0.0,11.0,37.0,7.0,0.01,19.0
5.33,2.0,23.4,31.0,5.0,5.0,3.0
0.01,0.0,14.5,50.0,7.0,0.01,7.0
3.1,1.0,22.0,30.0,20.0,1.5,2.0
8.1,3.0,23.0,32.0,20.0,1.0,5.0
57.57,12.0,22.0,24.0,15.0,2.0,3.0
0.01,1.0,18.0,32.0,16.0,0.2,6.0
0.03,0.0,18.0,35.0,10.0,0.03,26.0
0.01,0.0,19.0,73.0,10.0,0.01,8.0
0.2,0.1,12.0,48.0,15.0,0.2,13.0
0.01,1.0,16.0,40.0,15.0,0.01,5.0
0.4,2.0,20.0,35.0,10.0,0.4,8.0
0.01,0.0,18.0,55.0,3.0,0.1,9.0
0.01,1.0,23.0,50.0,7.0,0.01,9.0
0.01,0.1,16.0,42.0,10.0,0.01,0.0
0.1,1.0,18.0,39.0,10.0,0.3,0.0
0.01,1.0,16.0,65.0,5.0,0.01,652.0
0.01,0.0,3.0,81.0,5.0,0.01,0.0
0.01,0.0,9.0,54.0,13.0,0.01,6.0
0.01,0.0,17.0,35.0,25.0,0.01,34.0
8.7,5.0,17.0,80.0,10.0,4.0,9.0
0.05,1.0,16.0,60.0,15.0,0.05,5.0
0.1,1.0,16.0,60.0,8.0,0.02,8.0
0.01,1.0,16.0,65.0,10.0,0.01,0.0
0.01,0.0,21.0,45.0,5.0,0.01,25.0
1.4,1.0,17.0,43.0,11.0,0.5,2.0
0.1,2.0,17.0,40.0,10.0,1.0,0.0
0.01,0.0,17.8,58.0,2.0,0.01,15.0
0.1,0.0,18.0,35.0,10.0,0.1,4.0
0.01,0.0,18.0,40.0,10.0,0.01,50.0
0.01,0.0,17.0,56.0,5.0,0.01,6.0
0.01,0.0,14.0,35.0,10.0,0.01,5.0
0.97,1.0,16.0,30.0,5.0,1.5,18.0
0.01,1.0,9.0,53.0,4.0,0.01,3.0
3.2,2.0,18.0,29.0,17.0,5.0,14.0
0.13,0.5,23.0,28.0,2.0,0.1,7.0
0.01,0.0,20.0,31.0,2.0,0.01,0.0
0.55,5.0,22.0,25.0,20.0,0.1,7.0
0.87,1.0,22.0,29.0,10.0,1.0,5.0
1.26,0.1,20.7,37.0,12.0,0.9,2.0
0.37,1.0,26.0,31.0,3.0,1.7,7.0
0.01,0.0,18.0,30.0,5.0,0.01,8.0
0.81,1.0,23.9,53.0,3.0,0.81,0.0
0.57,1.0,23.0,32.0,9.0,1.0,3.0
0.58,1.0,25.0,52.0,2.0,0.4,1.0
0.45,3.0,28.0,40.0,2.0,0.5,8.0
0.01,1.0,25.0,64.0,5.0,0.01,0.0
0.1,1.0,18.0,89.0,3.0,0.7,0.0
0.01,1.0,21.4,34.0,6.0,0.01,2.0
0.8,2.0,24.0,50.0,0.0,0.5,8.0
0.01,1.0,26.0,67.0,5.0,0.01,0.0
0.88,2.0,14.0,28.0,3.0,0.6,3.0
0.01,0.1,25.5,64.0,2.0,0.01,0.0
0.01,0.0,24.0,41.0,20.0,0.01,10.0
0.01,0.0,22.0,41.0,57.0,0.1,2.0
0.01,1.0,35.0,33.0,0.0,0.01,0.0
0.2,1.0,16.0,54.0,6.0,0.2,3.0
0.01,0.0,19.0,40.0,4.0,0.01,12.0
1.65,1.0,19.5,27.0,25.0,1.65,49.0
0.93,0.5,22.0,22.0,10.0,0.8,2.0
0.02,1.0,16.5,35.0,20.0,0.02,8.0
2.0,0.0,13.0,58.0,10.0,4.5,35.0
0.5,1.0,19.0,39.0,20.0,0.5,4.0
0.01,0.0,19.0,40.0,4.0,0.01,6.0
1.6,1.0,30.0,26.0,7.0,0.8,1.0
1.5,1.0,24.0,30.0,15.0,0.5,1.0
0.05,0.0,18.0,50.0,20.0,0.01,12.0
0.01,0.0,17.0,48.0,15.0,0.01,0.0
175.0,2.0,29.0,27.0,20.0,2.0,9.0
2.7,1.0,25.0,43.0,3.0,3.0,0.0
1.6,1.0,29.0,30.0,5.0,1.0,2.0
0.2,2.0,32.0,28.0,15.0,0.1,4.0
0.21,1.0,28.6,37.0,3.0,0.15,0.0
0.01,0.0,33.4,37.0,6.0,0.01,0.0
0.5,1.0,33.0,29.0,8.0,0.5,4.0
0.04,1.0,23.4,100.0,6.0,0.04,2.0
0.5,3.0,34.0,68.0,20.0,0.5,0.0
2.6,3.0,34.0,68.0,20.0,2.5,3.0
13.0,3.0,29.8,40.0,8.0,5.0,30.0
27.8,3.0,28.8,37.0,11.0,1.5,0.0
0.5,1.0,32.4,36.0,10.0,0.2,18.0
1536.1,1.0,30.0,25.0,5.0,0.2,0.0
2.4,1.0,30.0,25.0,5.0,2.5,2.0
107.5,3.0,26.0,56.0,7.0,51.6,0.0
0.01,1.0,23.0,56.0,0.0,0.01,2.0
9.4,1.5,38.0,55.0,5.0,2.0,1.0
0.1,2.0,33.0,35.0,9.0,0.1,0.0
0.6,3.0,34.0,34.0,4.0,0.6,10.0
0.01,1.0,34.0,24.0,15.0,0.01,10.0
0.01,0.1,32.0,62.0,0.0,0.01,6.0
12.5,1.0,34.0,22.0,15.0,3.0,17.0
0.01,0.5,24.0,70.0,27.0,0.01,3.0
0.02,0.1,29.8,35.0,5.0,0.02,5.0
0.01,0.0,32.0,35.0,20.0,0.01,6.0
0.95,5.0,29.0,38.0,5.0,0.4,1.0
2.0,3.0,21.0,76.0,5.0,4.0,2.0
0.01,1.0,35.0,26.0,20.0,0.01,4.0
0.01,1.0,21.0,90.0,3.0,0.01,0.0
0.05,0.1,23.0,55.0,15.0,0.05,0.0
3.91,3.0,27.0,33.0,10.0,2.0,4.0
0.01,0.0,25.0,69.0,2.0,0.01,1.0
1.8,4.0,29.0,25.0,0.0,1.5,2.0
0.01,0.5,17.0,85.0,5.0,0.01,4219.0
0.03,1.0,23.7,76.0,5.0,0.01,0.0
0.01,0.0,22.0,55.0,25.0,0.01,0.0
0.01,0.0,21.0,75.0,10.0,0.01,2.0
0.01,0.0,19.0,70.0,10.0,0.01,0.0
0.06,1.0,27.0,54.0,5.0,0.06,0.0
0.01,0.1,21.4,36.0,3.0,0.01,0.0
0.07,1.0,22.0,77.0,7.0,0.2,0.0
0.01,0.1,25.0,47.0,3.0,0.01,0.0
0.1,0.0,30.0,31.0,1.0,0.1,2.0
0.1,1.0,24.0,35.0,1.0,0.01,0.0
0.01,0.0,15.0,80.0,2.0,0.01,1.0
0.1,0.5,32.5,24.0,10.0,0.1,15.0
0.2,1.0,26.0,26.0,5.0,0.2,37.0
0.06,1.0,21.0,50.0,6.0,0.06,1.0
0.01,0.0,14.0,60.0,0.0,0.01,14.0
6.9,10.0,20.0,35.0,3.0,6.0,2.0
0.2,0.5,25.0,30.0,10.0,0.2,30.0
0.01,0.1,27.0,23.0,8.0,0.01,0.0
0.1,1.0,24.0,42.0,9.0,0.1,0.0
0.03,0.0,21.0,51.0,13.0,0.02,6.0
0.01,0.1,29.9,30.0,1.0,0.01,0.0
0.01,0.0,15.0,79.0,4.0,0.01,36.0
0.01,0.0,26.0,63.0,12.0,0.01,1.0
0.01,1.0,26.0,46.0,2.0,0.01,7.0
0.01,0.1,28.0,69.0,3.0,0.01,9.0
0.01,0.5,23.4,48.0,3.0,0.01,1155.0
0.02,1.0,23.4,48.0,24.0,0.02,2.0
0.01,0.1,32.0,35.0,2.0,0.01,0.0
0.01,0.0,18.0,74.0,0.0,0.01,3.0
0.37,0.1,25.0,56.0,5.0,0.37,30.0
2.27,5.0,27.0,35.0,13.0,0.5,5.0
0.01,1.0,26.0,42.0,5.0,0.01,5.0
0.01,0.0,20.0,62.0,0.0,0.01,3.0
5.63,2.0,26.5,33.0,5.0,8.0,0.0
0.02,1.0,23.0,75.0,3.0,0.02,4.0
43.5,5.0,26.0,32.0,8.0,60.0,6.0
0.03,1.0,27.0,45.0,0.0,0.03,6.0
0.2,0.5,24.0,46.0,10.0,0.2,9.0
0.01,0.0,27.0,40.0,10.0,0.01,0.0
0.01,0.0,27.0,45.0,10.0,0.01,0.0
0.01,0.0,27.0,45.0,10.0,0.01,0.0
0.01,0.0,15.0,53.0,20.0,0.01,7.0
372.0,0.0,35.3,31.0,20.0,0.5,7.0
0.01,1.0,26.0,45.0,10.0,0.01,0.0
0.01,0.0,38.0,20.0,20.0,0.01,1.0
12.7,10.0,24.0,31.0,11.0,8.0,2.0
0.16,1.0,19.8,70.0,5.0,0.16,13.0
0.3,1.0,23.0,80.0,10.0,0.25,2.0
1.33,1.0,21.0,62.0,15.0,0.1,9.0
47.7,10.0,36.0,31.0,10.0,4.0,3.0
0.49,5.0,28.0,61.0,5.0,0.5,0.0
0.5,0.5,25.0,30.0,20.0,0.5,8.0
0.6,3.0,23.0,55.0,2.0,1.0,5.0
0.01,0.1,21.0,48.0,17.0,0.01,93.0
0.49,0.5,25.0,27.0,2.0,0.49,7.0
0.5,0.5,22.0,55.0,2.0,0.5,25.0
0.97,1.0,22.0,60.0,5.0,0.5,8.0
0.01,0.0,21.0,50.0,15.0,0.01,0.0
0.01,0.0,22.0,43.0,10.0,0.01,1030.0
0.01,0.0,22.0,45.0,10.0,0.01,1.0
0.01,0.5,14.0,90.0,5.0,0.01,14.0
0.5,0.5,25.0,45.0,7.0,0.5,7.0
0.1,5.0,24.0,59.0,3.0,0.01,12.0
0.02,0.0,20.0,40.0,10.0,0.02,11.0
0.1,1.0,20.0,50.0,20.0,0.1,2.0
0.93,3.0,28.0,37.0,4.0,0.5,4.0
0.01,0.0,13.0,70.0,0.0,0.01,0.0
0.14,0.0,25.2,45.0,5.0,0.14,4.0
0.01,0.0,14.0,55.0,10.0,0.01,6.0
2.0,5.0,30.0,37.0,5.0,1.0,15.0
6.3,2.0,30.0,26.0,6.0,2.0,0.0
0.03,1.0,25.5,58.0,3.0,0.03,6.0
2728.0,5.0,27.0,30.0,15.0,15.0,1.0
28011.4,0.0,30.0,35.0,10.0,1000.0,0.0
34.3,1.0,28.0,25.0,10.0,2.0,0.0
0.1,0.0,30.0,25.0,10.0,0.1,13.0
3.1,4.0,27.0,35.0,15.0,2.0,6.0
0.3,1.0,28.0,37.0,5.0,0.5,2.0
0.01,0.1,33.0,22.0,0.0,0.72,7.0
0.2,1.0,26.0,66.0,3.0,0.2,3.0
0.18,1.0,30.0,26.0,0.0,0.01,4.0
0.1,1.0,27.0,30.0,6.0,0.1,4.0
0.18,1.0,26.0,44.0,2.0,0.3,7.0
5.8,4.0,27.0,48.0,1.0,3.0,11.0
0.03,0.0,24.0,48.0,0.0,0.03,0.0
0.01,0.0,24.0,56.0,0.0,0.01,0.0
0.1,0.1,27.0,36.0,1.0,0.1,4.0
0.08,1.0,30.0,30.0,5.0,0.1,0.0
0.83,1.0,25.0,35.0,5.0,0.2,0.0
0.2,1.0,29.0,33.0,10.0,0.1,0.0
0.28,1.0,22.0,35.0,10.0,0.1,0.0
0.01,0.0,25.0,40.0,25.0,0.01,7.0
5.6,5.0,25.0,40.0,10.0,2.0,4.0
0.01,0.0,22.0,58.0,0.0,0.01,39.0
0.01,0.0,22.0,70.0,0.0,0.01,0.0
0.1,0.5,21.0,40.0,15.0,0.1,0.0
0.01,0.1,20.0,65.0,5.0,0.01,0.0
0.01,0.0,26.0,31.0,2.0,0.01,0.0
0.67,0.0,24.0,32.0,3.0,0.67,7.0
0.01,1.0,28.5,52.0,2.0,0.01,0.0
0.1,2.0,31.0,51.0,3.0,0.1,1.0
0.01,0.0,21.0,47.0,5.0,0.01,0.0
0.01,0.0,26.0,31.0,12.0,0.01,0.0
0.5,1.0,26.0,54.0,5.0,0.5,8.0
1.4,1.0,25.0,50.0,15.0,1.0,0.0
0.02,1.0,24.0,30.0,0.0,0.01,2.0
0.24,0.1,18.0,40.0,5.0,0.1,0.0
0.1,0.0,21.8,81.0,9.0,0.1,1143.0
13.0,2.0,28.0,34.0,15.0,6.0,3.0
0.8,0.5,27.0,61.0,6.0,1.0,8.0
0.03,3.0,39.9,28.0,15.0,0.5,1.0
0.3,1.0,27.4,32.0,12.0,0.3,1.0
6.0,5.0,26.0,35.0,10.0,2.0,4.0
0.1,0.0,27.0,46.0,10.0,0.1,0.0
42.7,10.0,30.0,35.0,15.0,20.0,4.0
0.01,1.0,28.0,27.0,8.0,0.02,1.0
0.4,0.0,27.0,40.0,6.0,1.2,0.0
0.9,0.1,25.0,52.0,5.0,0.9,0.0
0.01,0.0,27.0,41.0,15.0,0.01,0.0
0.01,0.1,25.0,56.0,14.0,0.01,13.0
0.46,1.0,26.0,30.0,5.0,0.3,8.0
0.4,1.0,18.6,60.0,2.0,0.1,0.0
11.38,10.0,26.0,42.0,8.0,4.0,8.0
0.05,0.5,24.0,52.0,15.0,0.1,10.0
1.05,3.0,25.5,50.0,8.0,1.0,9.0
0.01,0.1,24.1,54.0,2.0,0.01,17.0
0.1,0.5,24.0,27.0,1.0,0.2,0.0
0.06,0.0,26.0,49.0,13.0,0.01,0.0
0.01,0.0,23.0,42.0,1.0,0.01,11.0
0.02,0.0,13.0,89.0,0.0,0.01,17.0
0.1,0.0,20.0,45.0,0.0,0.1,6.0
0.01,1.0,16.0,68.0,8.0,0.01,0.0
0.1,1.0,27.0,28.0,4.0,0.1,0.0
1.1,1.0,22.0,49.0,11.0,0.1,25.0
0.01,1.0,24.0,27.0,1.0,0.1,0.0
11.3,3.0,22.0,30.0,5.0,1.0,0.0
665.3,3.0,20.5,51.0,20.0,50.0,1.0
17.46,0.5,22.0,59.0,6.0,26.0,1.0
471.7,5.0,21.6,58.0,14.0,100.0,26.0
0.01,1.0,18.0,85.0,13.0,0.01,0.0
0.2,1.0,18.0,85.0,13.0,0.2,66.0
90.4,0.0,28.0,25.0,15.0,50.0,1.0
45.6,10.0,28.0,25.0,15.0,8.0,23.0
0.08,1.0,27.0,50.0,1.0,0.08,1008.0
0.01,1.0,23.0,55.0,5.0,0.01,2.0
0.07,1.0,24.8,54.0,5.0,0.1,1.0
0.01,1.0,18.0,85.0,13.0,0.01,0.0
28.3,3.0,22.0,35.0,25.0,30.0,32.0
10.4,15.0,25.9,87.0,0.0,1.0,9.0
0.58,3.0,23.0,41.0,7.0,0.6,14.0
0.01,1.0,25.0,54.0,5.0,0.01,1.0
0.4,1.0,27.5,39.0,5.0,0.32,7.0
0.01,0.0,21.0,58.0,2.0,0.01,801.0
4138.7,3.0,24.0,47.0,6.0,2.0,1.0
0.01,1.0,25.0,54.0,5.0,0.01,0.0
0.03,1.0,23.0,51.0,6.0,0.03,1.0
5960.0,5.0,23.2,39.0,25.0,30.0,14.0
0.1,0.0,23.9,55.0,0.0,0.1,16.0
0.01,0.1,24.0,45.0,5.0,0.01,0.0
0.75,0.0,25.0,45.0,5.0,0.75,62.0
0.01,0.0,16.0,83.0,8.0,0.01,6.0
79.1,2.0,21.8,56.0,20.0,15.0,1.0
0.01,0.0,21.0,58.0,2.0,0.1,741.0
32.8,5.0,18.0,50.0,0.0,33.0,54.0
0.01,0.0,20.0,64.0,6.0,0.01,828.0
0.01,0.0,19.0,60.0,25.0,0.01,5.0
29.43,1.0,25.5,44.0,3.0,0.5,30.0
3948.0,6.0,25.0,33.0,5.0,100.0,0.0
1.64,0.0,17.0,36.0,35.0,1.2,0.0
0.1,0.1,22.5,62.0,2.0,0.1,12.0
0.25,0.5,22.0,66.0,0.0,0.25,698.0
0.1,0.1,22.0,66.0,0.0,0.1,688.0
0.01,0.5,25.0,30.0,5.0,0.01,1.0
7.98,2.0,25.0,40.0,15.0,0.3,0.0
23.0,0.0,26.0,49.0,10.0,22.8,2.0
0.01,0.1,30.0,45.0,2.0,0.01,2.0
14.3,5.0,25.0,40.0,20.0,6.0,7.0
0.1,1.0,27.0,35.0,35.0,0.1,36.0
1.1,0.0,25.0,38.0,5.0,1.0,3.0
0.01,0.0,22.0,82.0,0.0,0.01,82.0
0.01,0.1,25.0,38.0,5.0,0.01,0.0
0.01,0.1,20.0,40.0,10.0,0.01,2.0
0.3,1.0,20.0,40.0,10.0,0.3,5.0
0.7,0.0,22.0,82.0,0.0,0.7,2.0
0.05,0.0,20.0,40.0,10.0,0.05,22.0
5.5,3.0,23.0,35.0,15.0,0.5,8.0
1274.9,5.0,25.0,33.0,5.0,175.0,0.0
0.44,0.3,23.0,55.0,10.0,0.3,0.0
328.0,15.0,29.4,42.0,17.0,400.0,2.0
0.97,1.0,31.0,28.0,17.0,0.2,0.0
0.01,0.0,20.0,35.0,10.0,0.01,0.0
2.69,1.0,25.0,52.0,10.0,0.3,1.0
0.11,0.1,19.0,70.0,15.0,0.11,10.0
19.5,8.0,21.0,43.0,7.0,25.0,4.0
86.4,5.0,25.0,23.0,14.0,15.0,9.0
0.25,0.5,24.0,32.0,13.0,0.2,1.0
125.0,1.0,25.0,48.0,6.0,3.0,6.0
0.3,0.5,26.0,30.0,12.0,0.2,0.0
0.03,1.0,25.8,42.0,3.0,0.03,6.0
0.04,0.0,34.0,30.0,5.0,0.04,2.0
0.83,2.0,29.0,63.0,3.0,1.0,2.0
51.8,1.0,31.0,23.0,5.0,0.2,6.0
5.59,3.0,25.0,32.0,10.0,0.3,1.0
0.5,3.0,26.0,41.0,25.0,0.3,5.0
